model,split,segment,n,crisis_share,directional_acc,rmse,nrmse_range_pct
ridge_optuna,train,all,3012,0.10126162018592297,0.5428286852589641,0.10181341993600372,10.234241623126286
ridge_optuna,train,normal,2707,,0.5304765422977465,0.09000870707958207,14.922559665166776
ridge_optuna,train,crisis,305,,0.6524590163934426,0.1745379501231218,17.544480433797176
ridge_optuna,val,all,695,0.2503597122302158,0.6805755395683454,0.19063239976276433,7.677925402327829
ridge_optuna,val,normal,521,,0.6487523992322457,0.175094737597203,12.08084957414219
ridge_optuna,val,crisis,174,,0.7758620689655172,0.2309885011242739,9.781614592725889
ridge_optuna,test,all,801,0.018726591760299626,0.5655430711610487,0.07515105733439417,19.126236595464835
ridge_optuna,test,normal,786,,0.5610687022900763,0.0756688461297892,19.258015859236732
ridge_optuna,test,crisis,15,,0.8,0.03944129507172281,26.35573603739249
rf_optuna,train,all,3012,0.10126162018592297,0.5567729083665338,0.09764799150752365,9.815534530999335
rf_optuna,train,normal,2707,,0.5437753971185815,0.08738221635934679,14.487113298316242
rf_optuna,train,crisis,305,,0.6721311475409836,0.1624616277549568,16.330573651054287
rf_optuna,val,all,695,0.2503597122302158,0.7784172661870503,0.18994820514602556,7.65036872657632
rf_optuna,val,normal,521,,0.744721689059501,0.17585930794680737,12.133601927006547
rf_optuna,val,crisis,174,,0.8793103448275862,0.2269629359553414,9.61114495112579
rf_optuna,test,all,801,0.018726591760299626,0.5480649188514357,0.07680205159551633,19.546421060940414
rf_optuna,test,normal,786,,0.5432569974554707,0.07646216440775593,19.459918448742336
rf_optuna,test,crisis,15,,0.8,0.092888128420326,62.07035010391183
xgb_optuna,train,all,3012,0.10126162018592297,0.601925630810093,0.09933911787604376,9.985525833536405
xgb_optuna,train,normal,2707,,0.5903213889915035,0.08730780475754121,14.474776585527527
xgb_optuna,train,crisis,305,,0.7049180327868853,0.17262371750297342,17.352062585837817
xgb_optuna,val,all,695,0.2503597122302158,0.7482014388489209,0.19117220713663907,7.699666726223424
xgb_optuna,val,normal,521,,0.7005758157389635,0.171418598036985,11.82721037487218
xgb_optuna,val,crisis,174,,0.8908045977011494,0.24081752470697873,10.197841894262021
xgb_optuna,test,all,801,0.018726591760299626,0.5043695380774033,0.07400319421390238,18.83410096357284
xgb_optuna,test,normal,786,,0.5063613231552163,0.07383766790380376,18.791973873389225
xgb_optuna,test,crisis,15,,0.4,0.08221181240551163,54.93614808984134
lgbm_optuna,train,all,3012,0.10126162018592297,0.5899734395750332,0.10026473250943657,10.078568222388464
lgbm_optuna,train,normal,2707,,0.5770225341706686,0.0872788433940505,14.469975075888103
lgbm_optuna,train,crisis,305,,0.7049180327868853,0.17795608426496895,17.888069822405374
lgbm_optuna,val,all,695,0.2503597122302158,0.7309352517985611,0.1957069538359774,7.882308537999916
lgbm_optuna,val,normal,521,,0.6775431861804223,0.17072026230722065,11.779027950778206
lgbm_optuna,val,crisis,174,,0.8908045977011494,0.2563513285905132,10.855648157379745
lgbm_optuna,test,all,801,0.018726591760299626,0.529338327091136,0.07369910100954871,18.756708059469556
lgbm_optuna,test,normal,786,,0.5318066157760815,0.07360412989282408,18.7325375406154
lgbm_optuna,test,crisis,15,,0.4,0.07851503061210152,52.46585889275034
catboost_optuna,train,all,3012,0.10126162018592297,0.7705843293492696,0.10223047125017157,10.276163443659561
catboost_optuna,train,normal,2707,,0.763945326930181,0.08741178791642103,14.49201597205915
catboost_optuna,train,crisis,305,,0.8295081967213115,0.1881307449293598,18.910822380350556
catboost_optuna,val,all,695,0.2503597122302158,0.8575539568345324,0.19913885992998562,8.020532255533668
catboost_optuna,val,normal,521,,0.8291746641074856,0.1730383999683183,11.938970349734241
catboost_optuna,val,crisis,174,,0.9425287356321839,0.26218781621816634,11.102804497505096
catboost_optuna,test,all,801,0.018726591760299626,0.529338327091136,0.07079045607980117,18.016446603785553
catboost_optuna,test,normal,786,,0.5305343511450382,0.07079428541150834,18.0174211836096
catboost_optuna,test,crisis,15,,0.4666666666666667,0.07058950846364011,47.16981145507089
